,custom_stopwords
0,kosher
1,cup
2,tsp
3,tbsp
4,cups
5,oz
6,teaspoon
7,plus
8,tablespoons
9,sliced
10,large
11,finely
12,divided
13,cut
14,thinly
15,lb
16,ml
17,tablespoon
18,serving
19,optional
20,small
21,packed
22,torn
23,piece
24,preferably
25,lengthwise
26,roughly
27,trimmed
28,andor
29,pinch
30,rinsed
31,drained
32,bunch
33,pounds
34,slices
35,homemade
36,drizzling
37,fl
38,powdered
39,flaky
40,quartered
41,equipment
42,beaten
43,scrubbed
44,diagonal
45,cracked
46,coarse
47,separated
48,package
49,squeezed
50,grams
51,simple
52,cm
53,handful
54,patted
55,serve
56,sifted
57,bitesize
58,left
59,softened
60,assorted 
61,firm
62,rings
63,size
64,sharp
65,slice
66,smashed
67,oldfashioned
68,depending
69,scant
70,follows
71,steamed
72,brushing
73,unbleached
74,nonstick
75,leftover
76,sprinkling
77,dice
78,meal
79,layers
80,preferred
81,greasing
82,stemmed
83,boiling
84,split
85,ozg
86,fillet
87,like
88,firmly
89,lbg
90,rolled
91,sheet
92,wide
93,goodquality
94,get
95,additional
96,tbspg
97,bowl
98,mashed
99,intact
100,loosely
101,links
102,ﬁnely
103,wellstirred
104,dash
105,big
106,using
107,hard
108,surface
109,possible
110,attached
111,grindercup
112,medium
113,water
114,ounces
115,removed
116,sea
117,teaspoons
118,halved
119,ounce
120,coarsely
121,toasted
122,inch
123,diced
124,zest
125,pound
126,garnish
127,minced
128,temperature
129,morton
130,cooked
131,diamond
132,crystal
133,pitted
134,melted
135,tender
136,storebought
137,parts
138,pan
139,cubes
140,seeded
141,needed
142,sprigs
143,hot
144,lightly
145,total
146,sticks
147,taste
148,dusting
149,stock
150,extra
151,see
152,spray
153,diameter
154,countrystyle
155,crumbled
156,shaved
157,cubed
158,about
159,choice
160,cored
161,hulled
162,desired
163,ends
164,peel
165,reserved
166,blend
167,tough
168,kg
169,little
170,rind
171,good
172,heirloom
173,doubleconcentrated
174,confectioners
175,prepared
176,bag
177,end
178,long
179,dutchprocess
180,substitute
181,regular
182,instant
183,recipe
184,planks
185,superfine
186,outer
187,packages
188,twists
189,rim
190,thickcut
191,cleaned
192,extrafirm
193,quarts
194,top
195,creole
196,reposado
197,food
198,mediumsize
199,clean
200,slightly
201,heaping
202,purpose
203,proof
204,old
205,littleneck
206,lo
207,pot
208,ritz
209,approximately
210,reserve
211,percent
212,lightlife
213,noilly
214,online
215,according
216,blackstrap
217,agricole
218,bias
219,sandingsalt
220,chopped
221,unsalted
222,salt
223,freshly
224,peeled
225,grated
226,whole
227,crushed
228,peeled
229,boneless
230,skinless
231,unseasoned
232,head
233,special
234,crosswise
235,heads
236,unpeeled
237,roasted
238,thin
239,deveined
240,salt
241,salted
242,sugar
243,chopped
244,unsalted
245,whole
246,flakes
247,stems
248,shredded
249,unsweetened
250,wedges
251,ml
252,chilled
253,crosswise
254,equipment
255,mill
256,cans
257,ice
258,one
259,sea
260,mixed
261,neutral
262,flaky
263,note
264,mortar
265,bunches
266,frying
267,room
268,lowsodium
269,twist
270,half
271,thighs
272,bonein
273,cold
274,strips
275,dashes
276,pestle
277,cupg
278,chunks
279,sweetened
280,skinon
281,pieces
282,thick
283,pure
284,ripe
285,pint
286,inchthick
287,oilpacked
288,cooled
289,de
290,mini
291,blanched
292,thawed
